trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2123736,9,248818,Penn Station New York,3872,0,3872,9,
2123738,2,248818,Hoboken,0264,0,0264,2,
2123739,2,248818,Penn Station New York,6246,0,6246,22,
2123740,7,248818,Penn Station New York,6368,0,6368,27,
2123744,10,248818,South Amboy,3505,1,3505,120,
2123745,10,248818,Bay Head,4367,1,4367,110,
2123746,9,248818,Trenton Station,3953,1,3953,109,
2123747,6,248818,Port Jervis,0067,1,0067,135,
2123748,6,248818,Hoboken,1110,0,1110,25,
2123749,6,248818,Suffern,1111,1,1111,125,
2123750,6,248818,Hoboken,1112,0,1112,25,
2123751,6,248818,Suffern,1113,1,1113,125,
2123752,6,248818,Hoboken,1114,0,1114,25,
2123753,6,248818,Hoboken,1116,0,1116,25,
2123754,6,248818,Hoboken,1118,0,1118,25,
2123755,6,248818,Hoboken,1132,0,1132,25,
2123756,6,248818,Suffern,1107,1,1107,125,
2123758,6,248818,Hoboken,1234,0,1234,25,
2123759,6,248818,Hoboken,1102,0,1102,25,
2123760,6,248818,Suffern,1131,1,1131,125,
2123761,6,248818,Waldwick,1207,1,1207,125,
2123762,6,248818,Waldwick,1223,1,1223,125,
2123763,6,248818,Waldwick,1225,1,1225,125,
2123764,6,248818,Hoboken,1212,0,1212,25,
2123765,6,248818,Hoboken,1130,0,1130,25,
2123766,6,248818,Suffern,1103,1,1103,125,
2123767,6,248818,Suffern,1125,1,1125,125,
2123768,6,248818,Suffern,1127,1,1127,125,
2123769,6,248818,Suffern,1129,1,1129,125,
2123770,6,248818,Waldwick,1215,1,1215,125,
2123771,6,248818,Waldwick,1213,1,1213,125,
2123772,6,248818,Hoboken,1100,0,1100,25,
2123773,6,248818,Hoboken,1202,0,1202,25,
2123774,6,248818,Hoboken,1122,0,1122,25,
2123775,6,248818,Hoboken,1124,0,1124,25,
2123776,6,248818,Hoboken,1126,0,1126,25,
2123777,6,248818,Hoboken,1134,0,1134,25,
2123778,6,248818,Hoboken,1136,0,1136,25,
2123779,6,248818,Hoboken,1208,0,1208,25,
2123780,6,248818,Waldwick,1211,1,1211,125,
2123781,6,248818,Hoboken,1120,0,1120,25,
2123782,6,248818,Hoboken,1220,0,1220,25,
2123783,6,248818,Suffern,1105,1,1105,125,
2123784,6,248818,Suffern,1109,1,1109,125,
2123785,6,248818,Suffern,1115,1,1115,125,
2123786,6,248818,Hoboken,1128,0,1128,25,
2123787,6,248818,Ridgewood,1319,1,1319,125,
2123788,2,248818,Hoboken,1000,0,1000,2,
2123789,13,248818,Spring Valley,1635,1,1635,113,
2123790,2,248818,Hoboken,1070,0,1070,2,
2123792,7,248818,Penn Station New York,6606,0,6606,27,
2123793,5,248818,Hoboken,1148,0,1148,5,
2123794,13,248818,Spring Valley,1629,1,1629,113,
2123796,7,248818,Lake Hopatcong,0807,1,0807,107,
2123797,7,248818,Hackettstown,0881,1,0881,107,
2123798,8,248818,Gladstone,0433,1,0433,108,
2123799,7,248818,Summit,6351,1,6351,127,
2123800,2,248818,Montclair State University,6273,1,6273,122,
2123801,9,248818,Penn Station New York,3738,0,3738,9,
2123802,10,248818,South Amboy,3515,1,3515,120,
2123804,7,248818,Summit,6355,1,6355,127,
2123805,2,248818,Penn Station New York,6252,0,6252,22,
2123806,7,248818,Summit,6363,1,6363,127,
2123807,9,248818,Trenton Station,3875,1,3875,109,
2123808,10,248818,Long Branch,4398,0,4398,10,
2123809,10,248818,Penn Station New York,3202,0,3202,20,
2123810,10,248818,Penn Station New York,3204,0,3204,20,
2123811,10,248818,Penn Station New York,3208,0,3208,20,
2123812,10,248818,Penn Station New York,3210,0,3210,20,
2123813,10,248818,Long Branch,4310,0,4310,10,
2123814,10,248818,Penn Station New York,3240,0,3240,20,
2123815,10,248818,Long Branch,4340,0,4340,10,
2123816,10,248818,Penn Station New York,3228,0,3228,20,
2123817,10,248818,Long Branch,4330,0,4330,10,
2123818,10,248818,Penn Station New York,3508,0,3508,20,
2123819,10,248818,Penn Station New York,3234,0,3234,20,
2123820,10,248818,Long Branch,4334,0,4334,10,
2123821,10,248818,Penn Station New York,3236,0,3236,20,
2123822,9,248818,Trenton Station,3957,1,3957,109,
